unit,year,vintage,cred_total,cred_mn,cred_me_usd,dep_total,dep_mn,dep_me_usd,label_credit,label_deposit,n_vintages,rev_spread_c,rev_spread_d,doll_credit,doll_deposit,fx_credit,fx_deposit,fx_implied,fx0,doll_credit_constfx,doll_deposit_constfx
SSFF,2008,2012,104535369.26733,48877236.78829,17725519.897783436,119049473.843,58901208.735,19155498.44203821,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),5,1.4510911117149305e-5,0,53.24334994857536,50.52375551640178,3.140000000000001,3.140000000000001,3.140000000000001,2.8090000002386644,50.46304098147082,47.740458422947974
SSFF,2009,2013,105866260.92035,57153224.58239,16855721.912788924,125408840.12328996,64770473.6756,20982133.718923874,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.4850151050735496,5.0454439959324304e-6,46.013749720139785,48.35254547293167,2.890000000593271,2.8899999999999983,2.890000000264285,2.8090000002386644,45.30841491603424,47.64299828187858
SSFF,2010,2014,126726539.36717996,69151145.24718001,20496758.316126727,145028338.96767002,84907417.83936001,21402962.30982912,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.4994432035994034,1.9044742449736418e-7,45.43278338342363,41.45460229101312,2.8090000004878806,2.8090000000000006,2.8090000002386644,2.8090000002386644,45.43278338122412,41.45460229307517
SSFF,2011,2015,148889731.23816997,83069308.78816998,24414103.29376855,157867082.21491998,93605157.75138,23836025.39448813,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.4977299235651378,0,44.20749631464578,40.70634837986928,2.695999998771201,2.6959999999999997,2.6959999993782393,2.8090000002386644,45.22247491847063,41.701024348862006
SSFF,2012,2016,167689407.94428,95664853.71428001,28244923.227450985,176901440.89124,114648145.30504,24413057.09262745,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.5151887905485264,0,42.95116496203051,35.19094885409875,2.5499999999999994,2.55,2.55,2.8090000002386644,45.33588211744927,37.427476301708154
SSFF,2013,2017,198969985.80539,119033356.85313997,28599867.245885503,212104651.46345,127247233.20575002,30360435.87037567,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,2.3949757954611073e-5,0,40.175219708984166,40.00733490388478,2.7950000000000017,2.795,2.7950000000000017,2.8090000002386644,40.295366597273436,40.127316483799135
SSFF,2014,2018,226268469.91951004,140964262.09072,28568053.52605157,221865694.42776003,133354759.3908,29641974.22537173,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,2.2279837330607677e-5,0,37.70043959688025,39.89392558649008,2.986000000000002,2.9860000000000015,2.9860000000000015,2.8090000002386644,36.276372786056996,38.43812436699349
SSFF,2015,2019,258913323.05246,182040508.05808997,22536738.49145998,255739613.26796,139456170.89347997,34090718.960562885,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,0,0,29.690559793554684,45.46946829572314,3.4110000000000023,3.411000000000001,3.4110000000000014,2.8090000002386644,25.802599247242647,40.71169574492301
SSFF,2016,2020,271328025.62493,194800379.27214992,22803231.928718705,256301628.08232,151645269.00019,31184850.739609662,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,0.07939519548770813,0,28.204843998890116,40.833279080270245,3.3560000000000056,3.3559999999999994,3.3560000000000016,2.8090000002386644,24.745267883599254,36.614679328701264
SSFF,2017,2021,286604756.41735005,204177316.2656,25432718.34364394,280784353.75897,177864281.5237,31755653.2660506,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0.042326593534003365,0,28.759969367612413,36.65448977389186,3.241000000000002,3.241000000000001,3.241000000000002,2.8090000002386644,25.920132917861046,33.400604933939434
SSFF,2018,2022,315643482.92535007,227562321.64582,26113596.58450341,298677890.92015994,198036890.43005997,29837237.026415657,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0.051943700781198476,0,27.90526845769261,33.6954972395337,3.3730000000000033,3.3729999999999984,3.373,2.8090000002386644,24.376648482512206,29.736700806383126
SSFF,2019,2023,335321068.22719,248187522.53822,26292560.557926975,323665888.80417,217078871.05237,32162648.68792999,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0.05389269383817563,0,25.985109181966003,32.93118658428944,3.3140000000000014,3.314,3.3140000000000005,2.8090000002386644,22.9334989566075,29.387735922236267
SSFF,2020,2024,376900815.2626101,292807741.73928994,23223715.41654792,404014859.89538,274498056.3024,35768241.80971555,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0,0,22.311725026311578,32.05743561672918,3.621000000000005,3.621000000000001,3.6210000000000027,2.8090000002386644,18.219986917574662,26.794866405637297
SSFF,2021,2025,405492405.66277,312787680.80909,23251749.39896664,407634665.3932301,260189000.38032,36981606.47426887,Créditos Directos (Miles S/) 1/,Depósitos totales (Miles S/),5,0.12304371785305523,0,22.86225920856786,36.17103193877652,3.9869999999999983,3.9870000000000023,3.987000000000001,2.8090000002386644,17.27422517301087,28.533314358815367
SSFF,2022,2025,420040026.68247,320647153.09124005,26060008.80734924,405025585.55286,268119521.3021,35895664.46008391,Créditos Directos (Miles S/) 1/,Depósitos totales (Miles S/),4,0.15118547042717312,0,23.66271480750243,33.80183107787702,3.813999999999999,3.8139999999999996,3.813999999999999,2.8090000002386644,18.58642051288787,27.32912331462586
SSFF,2023,2025,419713536.59845,319952304.06534004,26897069.973877057,416569070.24453,280853593.5871399,36590853.776594795,Créditos Directos (Miles S/) 1/,Depósitos totales (Miles S/),3,0.20611328675268492,0,23.768886117331476,32.57934550390979,3.7089999999999983,3.7090000000000005,3.7089999999999996,2.8090000002386644,19.103082227492838,26.791896348550615
SSFF,2024,2025,425900438.10064,327776193.36431,26069140.47192613,453963545.93676007,304889592.43574,39605194.872747056,Créditos Directos (Miles S/) 1/,Depósitos totales (Miles S/),2,0.432493300214043,0,23.039244846501727,32.83830933900296,3.7640000000000007,3.764000000000004,3.7640000000000016,2.8090000002386644,18.26119961685153,26.733992419662943
SSFF,2025,2025,444243579.84057015,346245924.49398005,29139951.039723456,477139531.89510006,333427029.03735995,42733423.389158495,Créditos Directos (Miles S/) 1/,Depósitos totales (Miles S/),1,0,0,22.059442115462748,30.119596732415697,3.363000000000004,3.363000000000002,3.363000000000003,2.8090000002386644,19.120325507225118,26.471310752755986
